"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"SOCIETY","0147-2011","1936-4725","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Sociology | Social Sciences, Interdisciplinary"
"SOCIETY AND MENTAL HEALTH","2156-8693","2156-8731","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology"
"SOCIETY & ANIMALS","1063-1119","1568-5306","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Sociology"
"SOCIETY & NATURAL RESOURCES","0894-1920","1521-0723","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Environmental Studies | Sociology | Regional & Urban Planning | Development Studies"
"SOCIO-ECONOMIC PLANNING SCIENCES","0038-0121","1873-6041","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Economics | Management"
"SOCIO-ECONOMIC REVIEW","1475-1461","1475-147X","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Political Science | Sociology | Economics"
"SOCIOLOGIA","0049-1225","1336-8613","INST SOCIOLOGY SLOVAK ACAD SCIENCES","KLEMENSOVA 19, BRATISLAVA, Slovakia, 81364","Slovak","Sociology"
"SOCIOLOGIA RURALIS","0038-0199","1467-9523","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology | Geography"
"SOCIOLOGICAL FORUM","0884-8971","1573-7861","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology"
"SOCIOLOGICAL INQUIRY","0038-0245","1475-682X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology"
"SOCIOLOGICAL METHODOLOGY","0081-1750","1467-9531","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology"
"SOCIOLOGICAL METHODS & RESEARCH","0049-1241","1552-8294","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology | Social Sciences, Mathematical Methods"
"SOCIOLOGICAL PERSPECTIVES","0731-1214","1533-8673","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology"
"SOCIOLOGICAL QUARTERLY","0038-0253","1533-8525","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Sociology"
"SOCIOLOGICAL RESEARCH ONLINE","1360-7804","1360-7804","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
"SOCIOLOGICAL REVIEW","0038-0261","1467-954X","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
"SOCIOLOGICAL SCIENCE","2330-6696","2330-6696","SOC SOCIOLOGICAL SCIENCE","940 COTTRELL WAY, STANFORD, USA, CA, 94305","English","Sociology"
"SOCIOLOGICAL SPECTRUM","0273-2173","1521-0707","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Sociology"
"SOCIOLOGICAL THEORY","0735-2751","1467-9558","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology"
"SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW","0038-0288","2336-128X","SOCIOLOGICKY CASOPIS","JILSKA 1, PRAGUE 1, CZECH REPUBLIC, 110 00","Multi-Language","Sociology"
"SOCIOLOGIE DU TRAVAIL","0038-0296","1777-5701","REVUES ORG","CENTRE SOCIOLOGIE ORGANISATIONS CSO SCIENCES PO-CNRS, 27 RUE SAINT-GUILLAUME, PARIS, FRANCE, 75007","French","Sociology"
"SOCIOLOGISK FORSKNING","0038-0342","0038-0342","SOCIOLOGISK FORSKNING","HOGSKOLAN I OREBRO, INST SAMHALLSVETENSKAP,, OREBRO, SWEDEN, 701 82","Swedish","Sociology"
"SOCIOLOGUS","0038-0377","1865-5106","DUNCKER & HUMBLOT GMBH","POSTFACH 410329, BERLIN, GERMANY, 12113","English","Anthropology | Sociology"
"SOCIOLOGY COMPASS","1751-9020","1751-9020","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology"
"SOCIOLOGY OF EDUCATION","0038-0407","1939-8573","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology | Education & Educational Research"
"SOCIOLOGY OF HEALTH & ILLNESS","0141-9889","1467-9566","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology | Public, Environmental & Occupational Health | Social Sciences, Biomedical"
"SOCIOLOGY OF RACE AND ETHNICITY","2332-6492","2332-6505","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology | Ethnic Studies"
"SOCIOLOGY OF RELIGION","1069-4404","1759-8818","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Sociology"
"SOCIOLOGY OF SPORT JOURNAL","0741-1235","1543-2785","HUMAN KINETICS PUBL INC","1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200","English","Sociology | Hospitality, Leisure, Sport & Tourism"
"SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION","0038-0385","1469-8684","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
